/TTime               ,Tmax_coil1          ,Tmax_coil2          ,Tmax_coil3          ,Tmax_coil4          ,coil1_I             ,coil3_I             ,R1_I                ,R2_I                ,coil1_V             ,coil2_V             ,coil3_V             ,coil4_V             ,R_coil1             ,R_coil2             ,R_coil3             ,R_coil4             ,QV_coil1            ,QV_coil2            ,QV_coil3            ,QV_coil4            
0                   ,4.2                 ,4.2                 ,4.2                 ,4.2                 ,110                 ,110                 ,110                 ,110                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.01                ,4.2000176709        ,4.20000156145       ,4.20000028708       ,4.20000010342       ,109.81798449        ,109.836610552       ,109.81798449        ,109.836610552       ,2.61082095126       ,-211.961909928      ,-198.241510999      ,2.93193447022       ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.02                ,4.20178440984       ,4.20436335043       ,4.20377621021       ,4.20168434066       ,109.656166394       ,109.673901421       ,109.656166394       ,109.673901421       ,1.94461902431       ,-196.95388263       ,-197.01237391       ,1.97121397293       ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.03                ,4.20691588701       ,4.21521136945       ,4.21397972133       ,4.2068775936        ,109.497700312       ,109.514899504       ,109.497700312       ,109.514899504       ,1.55955381629       ,-196.306638279      ,-196.345347896      ,1.5660961551        ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.04                ,4.21553752443       ,4.2323737335        ,4.23051507258       ,4.21593750344       ,109.341906019       ,109.35864883        ,109.341906019       ,109.35864883        ,1.21008601969       ,-195.70284194       ,-195.737006202      ,1.21524349932       ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.05                ,4.22763897836       ,4.25534218539       ,4.25290769879       ,4.22894152619       ,109.188280362       ,109.20468172        ,109.188280362       ,109.20468172        ,0.919778511504      ,-195.158899674      ,-195.186738365      ,0.91875533659       ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.06                ,4.24310974542       ,4.28351379064       ,4.28057192362       ,4.24578170923       ,109.036451226       ,109.052640003       ,109.036451226       ,109.052640003       ,0.671639767192      ,-194.650392708      ,-194.682109204      ,0.664775168145      ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.07                ,4.26182797243       ,4.31627678822       ,4.31289857134       ,4.26616478143       ,108.886330083       ,108.902169403       ,108.886330083       ,108.902169403       ,0.488429450875      ,-194.229161909      ,-194.261441024      ,0.492207898992      ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.08                ,4.28346624827       ,4.3529661617        ,4.3492563156        ,4.28980054397       ,108.73752317        ,108.753146566       ,108.73752317        ,108.753146566       ,0.309517319961      ,-193.804555885      ,-193.831102089      ,0.307596079352      ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.09                ,4.30775873259       ,4.3930345172        ,4.38908277389       ,4.31635228493       ,108.589894663       ,108.605391741       ,108.589894663       ,108.605391741       ,0.157349267637      ,-193.400771488      ,-193.431906831      ,0.152057063999      ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.1                 ,4.3343432684        ,4.4359705032        ,4.43186183428       ,4.3454982107        ,108.443413789       ,108.458692669       ,108.443413789       ,108.458692669       ,0.0427045122075     ,-193.04863002       ,-193.08233846       ,0.0444322773913     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.11                ,4.36292292051       ,4.48126978181       ,4.47713630334       ,4.37695013258       ,108.297896897       ,108.312981616       ,108.297896897       ,108.312981616       ,-0.0639066309954    ,-192.706495133      ,-192.737893406      ,-0.0596912986093    ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.12                ,4.39324412168       ,4.52859306604       ,4.52452978097       ,4.41043496542       ,108.153200685       ,108.168184815       ,108.153200685       ,108.168184815       ,-0.165537725901     ,-192.361194698      ,-192.390934853      ,-0.167829093481     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.13                ,4.42510804711       ,4.57761214509       ,4.57364253901       ,4.44569274856       ,108.009324156       ,108.02417783        ,108.009324156       ,108.02417783        ,-0.242898699882     ,-192.045535372      ,-192.080817345      ,-0.240411863786     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.14                ,4.45828365481       ,4.62795392424       ,4.62416329315       ,4.48251220295       ,107.866203695       ,107.880914838       ,107.866203695       ,107.880914838       ,-0.307956440319     ,-191.74879106       ,-191.783367215      ,-0.301551085936     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.15                ,4.492584931         ,4.67934598676       ,4.67581710774       ,4.52069893587       ,107.723742359       ,107.738329253       ,107.723742359       ,107.738329253       ,-0.370597677161     ,-191.452513842      ,-191.487694233      ,-0.362021258249     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.16                ,4.52785653577       ,4.73160034854       ,4.72844786977       ,4.56008400693       ,107.581867763       ,107.596372384       ,107.581867763       ,107.596372384       ,-0.431334199735     ,-191.155409758      ,-191.185409503      ,-0.43013398886      ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.17                ,4.56398929262       ,4.78454259675       ,4.78185555778       ,4.60050344476       ,107.440614003       ,107.455008336       ,107.440614003       ,107.455008336       ,-0.472138023896     ,-190.884039371      ,-190.921150863      ,-0.461195420897     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.18                ,4.60083282398       ,4.8379956003        ,4.83584766867       ,4.6418463144        ,107.299859969       ,107.314178574       ,107.299859969       ,107.314178574       ,-0.521963281156     ,-190.597607464      ,-190.630900316      ,-0.519121041828     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
